0x19F5E8:  0x10 
0x19F5E9:  0x0 
0x19F5EA:  0x0 
0x19F5EB:  0x0 
0x19F5EC:  0x88 
0x19F5ED:  0x61 
0x19F5EE:  0xD7 
0x19F5EF:  0x0 
0x19F5F0:  0x61 
0x19F5F1:  0xCC 
0x19F5F2:  0xCC 
0x19F5F3:  0xCC 
0x19F5F4:  0xCC 
0x19F5F5:  0xCC 
0x19F5F6:  0xCC 
0x19F5F7:  0xCC 
0x19F5F8:  0x9A 
0x19F5F9:  0x99 
0x19F5FA:  0x99 
0x19F5FB:  0x99 
0x19F5FC:  0x99 
0x19F5FD:  0x99 
0x19F5FE:  0x17 
0x19F5FF:  0x40 
0x19F600:  0xCC 
0x19F601:  0xCC 
0x19F602:  0xCC 
0x19F603:  0xCC 
0x19F604:  0xCC 
0x19F605:  0xCC 
0x19F606:  0xCC 
0x19F607:  0xCC 
0x19F608:  0x88 
0x19F609:  0x61 
0x19F60A:  0xD7 
0x19F60B:  0x0 
0x19F60C:  0xCC 
0x19F60D:  0xCC 
0x19F60E:  0xCC 
0x19F60F:  0xCC 
0x19F610:  0xFC 
0x19F611:  0xF7 
0x19F612:  0x19 
0x19F613:  0x0 
0x19F614:  0xB0 
0x19F615:  0xD6 
0x19F616:  0xC 
0x19F617:  0x1 
0x19F618:  0x0 
0x19F619:  0x0 
0x19F61A:  0x0 
0x19F61B:  0x0 
0x19F61C:  0x68 
0x19F61D:  0xF7 
0x19F61E:  0x19 
0x19F61F:  0x0 
0x19F620:  0x8F 
0x19F621:  0x29 
0x19F622:  0xC 
0x19F623:  0x1 
0x19F624:  0x70 
0x19F625:  0xF7 
0x19F626:  0x19 
0x19F627:  0x0 
0x19F628:  0xE4 
0x19F629:  0xF7 
0x19F62A:  0x19 
0x19F62B:  0x0 
0x19F62C:  0x11 
0x19F62D:  0x1 
0x19F62E:  0x0 
0x19F62F:  0x0 
0x19F630:  0x0 
0x19F631:  0x0 
0x19F632:  0x0 
0x19F633:  0x0 
0x19F634:  0x1 
0x19F635:  0x0 
0x19F636:  0x0 
0x19F637:  0x0 
0x19F638:  0xCC 
0x19F639:  0xCC 
0x19F63A:  0xCC 
0x19F63B:  0xCC 
0x19F63C:  0xCC 
0x19F63D:  0xCC 
0x19F63E:  0xCC 
0x19F63F:  0xCC 
0x19F640:  0xCC 
0x19F641:  0xCC 
0x19F642:  0xCC 
0x19F643:  0xCC 
0x19F644:  0xCC 
0x19F645:  0xCC 
0x19F646:  0xCC 
0x19F647:  0xCC 
0x19F648:  0xCC 
0x19F649:  0xCC 
0x19F64A:  0xCC 
0x19F64B:  0xCC 
