
 difference of 	Play89_0.dmp	Play89_1.dmp
00000014h:	EDh	55h
00000015h:	12h	13h
00000048h:	E0h	B0h
00000049h:	5Ah	59h
0000004Ch:	F6h	66h
0000004Dh:	2Dh	2Ah
00000054h:	90h	00h
00000055h:	BDh	BAh
000000ECh:	75h	78h
000000F0h:	FFh	02h
000000F1h:	08h	09h
00000104h:	01h	02h
00000124h:	84h	38h
00000125h:	D2h	CEh
0000012Ch:	7Ch	C8h
0000012Dh:	2Dh	31h




 difference of 	Play89_1.dmp	Play89_2.dmp
00000058h:	66h	DEh
00000078h:	18h	68h
0000007Ch:	4Eh	76h
000000F8h:	B1h	B0h

 difference of 	Play89_2.dmp	Play89_3.dmp
000000F8h:	B0h	B1h

 difference of 	Play89_3.dmp	Play89_4.dmp
00000058h:	DEh	A6h
00000078h:	68h	40h
0000007Ch:	76h	66h

 difference of 	Play89_4.dmp	Play89_5.dmp
00000024h:	04h	A4h
00000025h:	3Ch	3Bh
00000030h:	0Ch	8Ch
00000031h:	50h	4Fh
00000034h:	0Ch	ACh
00000035h:	3Dh	3Ch
00000040h:	18h	38h
00000041h:	8Dh	8Ch
00000058h:	A6h	B8h
00000059h:	70h	67h
00000078h:	40h	D8h
00000079h:	33h	31h
0000007Ch:	66h	E0h
0000007Dh:	3Dh	35h
000000BCh:	D8h	F8h
000000BDh:	C1h	C0h
00000108h:	40h	3Eh
