raw offset	Play89_2.dmp	Play89_3.dmp	Play89_4.dmp	Play89_5.dmp
000087F8h:	DF	40	A1	60
000087F9h:	F6	58	B9	13
000087FAh:	95	98	9A	00
00012F8Fh:	9B	5C	E0	00
00012F90h:	BE	D8	FD	00
00012F91h:	17	77	7F	00
000632C6h:	02	04	68	00
000632CAh:	03	06	00	04
0006338Eh:	02	07	7C	00
00063392h:	03	09	00	04
000633B6h:	07	02	80	00
000633BAh:	09	03	00	04
000633DEh:	02	07	84	00
000633E2h:	03	09	00	04
0006347Eh:	07	02	94	00
00063482h:	09	03	00	04
000634A6h:	02	07	98	00
000634AAh:	03	09	00	04
000635FEh:	C8	BA	02	00
0006374Eh:	07	02	E4	00
00063752h:	09	03	00	04
00063A1Eh:	02	05	80	00
00063A22h:	03	08	00	05
00063C26h:	02	07	B8	00
00063C2Ah:	03	09	00	05
000640DAh:	03	04	00	05
0006419Eh:	02	09	54	00
000641A2h:	03	0B	00	05
000641C6h:	09	02	58	00
000641CAh:	0B	03	00	05
000641EEh:	02	09	5C	00
000641F2h:	03	0B	00	05
000641F6h:	00	D4	E8	05
00064216h:	09	02	60	00
0006421Ah:	0B	03	00	05
0006423Eh:	02	09	64	00
00064246h:	00	94	A8	05
0006430Ah:	03	04	00	05
0006467Eh:	00	1A	2E	05
0006471Ah:	03	04	00	05
00064896h:	10	8A	02	00
0006489Ah:	1C	96	03	00
00064F2Ah:	00	F0	03	05
0006589Ah:	03	04	00	05
0006595Eh:	02	05	0C	00
00065A26h:	02	07	20	00
00065A2Ah:	03	0A	00	05
00065B66h:	02	05	40	00
00065B6Ah:	03	08	00	05
00065BBAh:	04	03	00	05
00065C2Eh:	02	04	5C	00
00065CCEh:	02	04	6C	00
00065CD2h:	03	06	00	05
00065CF6h:	04	02	70	00
00065CFAh:	06	03	00	05
00065D96h:	02	04	84	00
00065D9Ah:	03	07	00	05
000DA24Eh:	CC	60	00	41
000DA24Fh:	CC	05	00	03
000DA5E7h:	00	8E	C3	15
0029CFEFh:	5A	20	80	00
0029D002h:	63	F4	48	00
0029D110h:	E9	95	18	00
0029D11Ch:	D2	92	51	00
0029D256h:	3B	92	44	00
0029D4EFh:	31	C9	32	00
0029D503h:	06	91	C0	00
0029D6FFh:	EA	49	F6	00
0029D7FDh:	20	E7	AF	00
00613C8Ah:	E8	00	F8	A5
00613C8Bh:	64	00	31	4D
00613C8Ch:	68	00	06	E0
00613C8Eh:	04	00	F8	6A
00613C94h:	6F	00	69	8E
00613CEAh:	00	E8	FF	4A
00613CECh:	00	68	FF	30
00B60636h:	00	50	01	44
00B60638h:	00	C4	01	14
00B611E8h:	07	08	00	C8
00B6129Fh:	14	11	00	FD
00B61317h:	11	12	00	FD
00B613C8h:	07	08	00	78
00B6141Fh:	11	79	80	FD
00B61420h:	00	4A	1B	01
00B61422h:	00	B0	02	01
00B61424h:	00	2E	CB	43
00B61425h:	00	FC	01	12
00B61467h:	11	13	C3	FD
00B61527h:	11	14	00	FD
00B6153Fh:	11	14	99	FD
00B61557h:	11	14	BA	FD
00B61608h:	05	09	00	78
00B61620h:	05	06	00	78
00B6165Fh:	11	14	C3	FF
00B61E9Ch:	04	06	4B	88
00B63308h:	00	E3	0B	F0
00B6361Ah:	27	15	00	E3
00B6361Bh:	14	15	00	FD
00B63884h:	00	2E	6E	60
00B63886h:	00	01	FC	28
00B63E30h:	00	30	0E	80
00B63E32h:	00	11	BD	5E
00B63E97h:	14	11	00	99
00B63EA3h:	14	74	00	99
00B63EA8h:	00	C4	0D	DF
00B63EAAh:	00	03	C0	54
00B63F0Fh:	14	11	B3	77
00B63F34h:	4E	00	A7	B8
00B63F35h:	FE	00	FD	26
00B64058h:	00	E3	0D	20
00B640B8h:	00	E3	0B	40
00B64298h:	00	57	0B	E4
00B6429Ah:	00	11	23	E6
00B99D06h:	08	0F	48	74
00B9D279h:	00	04	FC	AD
00B9D29Eh:	05	BA	10	00
00B9D319h:	00	04	FC	E9
00B9D400h:	00	0A	04	05
00B9D450h:	00	5E	04	05
00B9D557h:	1C	1F	1E	00
00B9D578h:	00	08	0C	20
00B9D589h:	00	04	FF	E3
00B9D6CFh:	18	1D	15	00
00B9D6F8h:	00	04	30	08
00B9D76Fh:	10	7C	11	00
00B9D778h:	00	05	33	08
00B9D7B8h:	00	0F	BD	58
00BA5349h:	00	04	FB	B9
00BA6658h:	00	08	57	B4
00BA88D0h:	00	33	08	04
00BA8F09h:	00	02	FB	21
00BAA2B9h:	00	04	FB	1C
00BAA2D1h:	00	FC	04	95
